Product Name,Salt Composition,M.R.P.,Company
COLMINT CAPS,Peppermint Oil,111.56,ALKEM LABS LTD NEXA
GLUVILDA 50MG TAB 15S,Vildagliptin,112.00,ALKEM LABS LTD. CARDIOLOGY
TSART-M 40/50MG TAB 10'S,Telmisartan + Metoprolol,229.65,ALKEM LABS LTD. CARDIOLOGY
APIXAPIL 5MG TAB 10'S,Apixaban,122.15,ALKEM LABS LTD. CARDIOLOGY
CILNIKEM 10MG TAB,Cilnidipine,142.50,ALKEM LBT LTD (imperia)CARDIO-2
CILNIKEM 5MG TAB,Cilnidipine,83.45,ALKEM LBT LTD (imperia)CARDIO-2
"CILNIKEM 20MG TAB 10,S",Cilnidipine,185.60,ALKEM LBT LTD (imperia)CARDIO-2
CILNIKEM OM TAB 10S,Cilnidipine + Olmesartan,92.81,ALKEM LBT LTD (imperia)CARDIO-2
CILNIKEM BETA 2.5MG TAB 10S,Cilnidipine + Bisoprolol,171.15,ALKEM LBT LTD (imperia)CARDIO-2
CILNIKEM BETA 5MG TAB 10S,Cilnidipine + Bisoprolol,226.85,ALKEM LBT LTD (imperia)CARDIO-2
CILNIKEM CT 12.5MG TAB 10S,Cilnidipine + Chlorthalidone,79.69,ALKEM LBT LTD (imperia)CARDIO-2
CILNIKEM CT 6.25MG TAB 10S,Cilnidipine + Chlorthalidone,70.31,ALKEM LBT LTD (imperia)CARDIO-2
DABICLOT 75MG CAP 10S,Dabigatran,274.22,ALKEM LBT LTD (imperia)CARDIO-2
EZURIC-25MG TAB 10S,Febuxostat,231.56,ALKEM LBT LTD (imperia)CARDIO-2
EZURIC-50MG TAB 10S,Febuxostat,271.88,ALKEM LBT LTD (imperia)CARDIO-2
MUZIKA TAB 10S,Alpha Lipoic Acid + Methylcobalamin + Pyridoxine + Folic Acid,81.09,ALKEM LBT LTD (imperia)CARDIO-2
KOJIGLO GOLD CREAM 20GM,Kojic Acid + Glutathione + Vitamin C,665.50,ALKEM PAHARMA (DARMA CARE)
OLESOFT MAX CREAM 150GR 150GM,NEEDS_VERIFICATION,541.35,ALKEM PAHARMA (DARMA CARE)
OLESOFT PH 5.5 BAR 75GM,Syndet Base (Soap-free cleanser),209.00,ALKEM PAHARMA (DARMA CARE)
OLESOFT MAX LOTION (200ML),NEEDS_VERIFICATION,608.40,ALKEM PAHARMA (DARMA CARE)
OLESOFT CREAM 100GM,NEEDS_VERIFICATION,269.53,ALKEM PAHARMA (DARMA CARE)
MINOKEM F 5%(90ML),Minoxidil + Finasteride,"1,115.63",ALKEM PAHARMA (DARMA CARE)
MINOKEM N 5% 90ML,Minoxidil,740.63,ALKEM PAHARMA (DARMA CARE)
OLESOFT MAX 300 CREAM 300GM,NEEDS_VERIFICATION,759.35,ALKEM PAHARMA (DARMA CARE)
KOJIGLO 0% FACE WASH 100ML,Kojic Acid + Glycolic Acid + Vitamin C,473.00,ALKEM PAHARMA (DARMA CARE)
OLESOFT LOTION 75ML,,195.90,ALKEM PAHARMA (DARMA CARE)
KOJIGLO GOLD SKIN LOTION 50GM,Kojic Acid + Glutathione + Vitamin C,750.00,ALKEM PAHARMA (DARMA CARE)
OLESOFT PPK CREAM 100 GM,NEEDS_VERIFICATION,700.00,ALKEM PAHARMA (DARMA CARE)
OLESOFT LITE MOISTUR.CREAM 50GM.,,575.00,ALKEM PAHARMA (DARMA CARE)
ITRATUF SB 65MG CAP,Itraconazole (Super Bioavailable),255.00,ALKEM PAHARMA (DARMA CARE)
KOJIGLO SERUM 30ML,Kojic Acid + Vitamin C + Niacinamide,"1,625.00",ALKEM PAHARMA (DARMA CARE)
TACROVERA FORTE OINMENT 15GM,Tacrolimus,701.25,ALKEM PAHARMA (DARMA CARE)
OLESOFT TRUCERA LOTION 150ML,Ceramides + Emollients,649.00,ALKEM PAHARMA (DARMA CARE)
KOJIGLO GEL 20GM,Kojic Acid + Dipalmitate + Vitamin C,484.00,ALKEM PAHARMA (DARMA CARE)
KOJIGLO FORTE CREAM 20GM,Kojic Acid + Arbutin + Vitamin C,770.00,ALKEM PAHARMA (DARMA CARE)
MELBILD SOLU 2 ML 2ML,Monobenzone,634.20,ALKEM PAHARMA (DARMA CARE)
MELBILD SOLU 5ML 5ML,Monobenzone,"1,175.60",ALKEM PAHARMA (DARMA CARE)
MINOKEM N 2%(90ML)TM,Minoxidil,649.65,ALKEM PAHARMA (DARMA CARE)
MINOKEM N 5%(60ML)TM,Minoxidil,"1,187.81",ALKEM PAHARMA (DARMA CARE)
OLESOFT CREEM 60GM,NEEDS_VERIFICATION,194.85,ALKEM PAHARMA (DARMA CARE)
OLESOFT LOTION 200ML,NEEDS_VERIFICATION,506.25,ALKEM PAHARMA (DARMA CARE)
OLESOFT MAX CREEM 125GM,NEEDS_VERIFICATION,266.25,ALKEM PAHARMA (DARMA CARE)
ITRATUF 100MG CAP 15'S,Itraconazole,221.76,ALKEM PAHARMA (DARMA CARE)
TACROVERA LOTION 15ML,Tacrolimus,656.25,ALKEM PAHARMA (DARMA CARE)
TACROVERA FORTE OINMENT 50GM,Tacrolimus,907.50,ALKEM PAHARMA (DARMA CARE)
CALKEM LOTION 100ML,Calamine + Aloe Vera + Light Liquid Paraffin,82.83,ALKEM PAHARMA (DARMA CARE)
TACROVERA OINT. 15GM,Tacrolimus,260.63,ALKEM PAHARMA (DARMA CARE)
ITRATUF 200MG CAP 15'S,Itraconazole,354.38,ALKEM PAHARMA (DARMA CARE)
DANDROP LOTION 75ML,Ketoconazole + Zinc Pyrithione,234.38,ALKEM PAHARMA (DARMA CARE)
BI-TO-ZED FORTE TAB 10S,Biotin + Zinc + Selenium + Multivitamins,144.58,ALKEM PAHARMA (DARMA CARE)
XPLODE POW,Protein + Vitamins + Minerals,365.79,ALKEM PAHARMA (DARMA CARE)
MELBILD-XL-10ML SOLUTION,Monobenzone,"1,603.10",ALKEM PAHARMA (DARMA CARE)
MINOKEM SPRAY 5%(90ML)TM,Minoxidil,270.94,ALKEM PAHARMA (DARMA CARE)
MINOKEM SPRAY 5%(90ML)TM,Minoxidil,897.19,ALKEM PAHARMA (DARMA CARE)
PRUSTAT TAB 10S,Prucalopride,101.72,ALKEM PAHARMA (DARMA CARE)
TERBIKEM 250MG TAB 7S,Terbinafine,163.59,ALKEM PAHARMA (DARMA CARE)
TERBIKEM CREAM 10GM,Terbinafine,75.00,ALKEM PAHARMA (DARMA CARE)
MINOKEM F 5% (60ML),Minoxidil + Finasteride,918.75,ALKEM PAHARMA (DARMA CARE)
ITRATUF ORAL SOLUTION 100ML,Itraconazole,471.10,ALKEM PAHARMA (DARMA CARE)
ITRATUF SB 130MG TAB 10'S,Itraconazole (Super Bioavailable),437.30,ALKEM PAHARMA (DARMA CARE)
MINOKEM SOLUTION 5% 60ML,Minoxidil,993.75,ALKEM PAHARMA (DARMA CARE)
MINOKEM SPRAY 2%(60ML),Minoxidil,843.75,ALKEM PAHARMA (DARMA CARE)
OLESOFT LITE GEL 75G,NEEDS_VERIFICATION,749.00,ALKEM PAHARMA (DARMA CARE)
ZADONASE-F SUSPENSION 100ML,Fungal Diastase + Pepsin,128.91,ALKEM PHARMA (AURA)
PAN RFT ORAL SUSP. 200ML,Sodium Alginate + Sodium Bicarbonate + Calcium Carbonate,200.00,ALKEM PHARMA (AURA)
TEGLIPTIN-M 500MG TAB 15S,Teneligliptin + Metformin,198.75,ALKEM PHARMA (AURA)
TEGLIPTIN 20MG TAB 15S,Teneligliptin,152.58,ALKEM PHARMA (AURA)
TAMICA 20MG TAB 15S,Telmisartan,57.46,ALKEM PHARMA (AURA)
TAMICA 40MG TAB 15S,Telmisartan,106.47,ALKEM PHARMA (AURA)
TAMICA 80MG TAB 10S,Telmisartan,99.02,ALKEM PHARMA (AURA)
TAMICA-H 40MG TAB 10'S,Telmisartan + Hydrochlorothiazide,154.69,ALKEM PHARMA (AURA)
TAMICA-AM 40MG TAB 15S,Telmisartan + Amlodipine,170.63,ALKEM PHARMA (AURA)
PAN MPS O ORAL SUSPN.200ML,Aluminium Hydroxide + Magnesium Hydroxide + Simethicone + Oxetacaine,173.44,ALKEM PHARMA (AURA)
PAN MD 20MG TABS 10'S,Pantoprazole (Mouth Dissolving),89.06,ALKEM PHARMA (AURA)
PAN 40MG TABS 10'S,Pantoprazole,192.80,ALKEM PHARMA (AURA)
PAN 20 TABS 10'S,Pantoprazole,129.35,ALKEM PHARMA (AURA)
PAN 40MG INJ.,Pantoprazole,51.86,ALKEM PHARMA (AURA)
PAN D CAPS 15'S,Pantoprazole + Domperidone,261.90,ALKEM PHARMA (AURA)
PAN L CAP 10'S,Pantoprazole + Levosulpiride,296.25,ALKEM PHARMA (AURA)
PAN IT CAP 10'S,Pantoprazole + Itopride,274.65,ALKEM PHARMA (AURA)
PAN MPS SYP 200ML,Magaldrate + Simethicone,117.15,ALKEM PHARMA (AURA)
ZADONASE TAB 10S,Serratiopeptidase,176.25,ALKEM PHARMA (AURA)
PAN 80MG TAB 15'S,Pantoprazole,316.85,ALKEM PHARMA (AURA)
SAFTOIN TAB 10,Nitrofurantoin,75.68,ALKEM PHARMA (AURA)
ULTIGEST 200 10,Progesterone,271.88,ALKEM PHARMA (AURA)
TEGLIPT-M 500MG TAB 15S,Teneligliptin + Metformin,180.70,ALKEM PHARMA (AURA)
TEGLIPT TAB 15S,Teneligliptin,152.58,ALKEM PHARMA (AURA)
TEGLIPTIN-M 1000MG TAB 15S,Teneligliptin + Metformin,207.19,ALKEM PHARMA (AURA)
FENCETA M SUSPENSION 60ML,Mefenamic Acid + Paracetamol,43.31,ALKEM PHARMA ALPHA MAX
ML-CETIRIZ TAB 10S,Montelukast + Levocetirizine,112.03,ALKEM PHARMA ALPHA MAX
ALCIPRO TABS 500MG**,Ciprofloxacin,44.52,ALKEM PHARMA ALPHA MAX
ALCIPRO TABS 250MG,Ciprofloxacin,21.71,ALKEM PHARMA ALPHA MAX
REVOTAZ TRIO VAIL,Ceftriaxone + Sulbactam + EDTA,578.90,ALKEM PHARMA ALPHA MAX
ML-CETIRIZ SYP 30ML,Montelukast + Levocetirizine,75.00,ALKEM PHARMA ALPHA MAX
CETIRIZ TABS 10'S,Cetirizine,19.74,ALKEM PHARMA ALPHA MAX
SUMO COLD AF SYP 60ML,Paracetamol + Phenylephrine + Chlorpheniramine,82.50,ALKEM PHARMA ALPHA MAX
SUMO ACE TABS 1*15TAB,Aceclofenac + Paracetamol,108.28,ALKEM PHARMA ALPHA MAX
SUMO TABS 15'S,Paracetamol,184.55,ALKEM PHARMA ALPHA MAX
RAPEED 20 TABS 10'S,Rabeprazole,38.44,ALKEM PHARMA ALPHA MAX
SWICH 200MG TABS 6'S,Cefixime,206.25,ALKEM PHARMA ALPHA MAX
SWICH 50MG SYP 30ML,Cefixime,129.35,ALKEM PHARMA ALPHA MAX
SWICH 100MG DT TABS 10'S,Cefixime,186.55,ALKEM PHARMA ALPHA MAX
SUMO GEL 30GM,Diclofenac + Methyl Salicylate + Menthol + Linseed Oil,74.53,ALKEM PHARMA ALPHA MAX
SWICH 50MG DT TABS 10'S,Cefixime,128.40,ALKEM PHARMA ALPHA MAX
FENCETA 325MG TAB 15'S,Paracetamol,33.25,ALKEM PHARMA ALPHA MAX
SUMOFLAM TAB 10'S,Aceclofenac + Paracetamol,229.65,ALKEM PHARMA ALPHA MAX
SWICH XP 250MG VAIL,Ceftriaxone + Sulbactam,83.91,ALKEM PHARMA ALPHA MAX
SWICH XP 1000MG VAIL,Ceftriaxone + Sulbactam,216.56,ALKEM PHARMA ALPHA MAX
SWICH XP 500MG VAIL,Ceftriaxone + Sulbactam,124.69,ALKEM PHARMA ALPHA MAX
SWICH 100MG DRY SYRUP 30ML,Cefixime,226.85,ALKEM PHARMA ALPHA MAX
SUMO COLD TAB 10S,Paracetamol + Phenylephrine + Caffeine,50.60,ALKEM PHARMA ALPHA MAX
CLAVPOD DS100MG DRY SY.,Cefpodoxime + Clavulanic Acid,152.34,ALKEM PHARMA ALPHA MAX
CLAVPOD 325 DT TAB 10'S,Cefpodoxime + Clavulanic Acid,279.38,ALKEM PHARMA ALPHA MAX
SWICH DROPS 25MG 10ML.,Cefixime,99.35,ALKEM PHARMA ALPHA MAX
INDIKOF A SYP 100ML.,Ambroxol + Guaifenesin + Terbutaline,71.25,ALKEM PHARMA ALPHA MAX
INDIKOF B SYP 100ML.,Bromhexine + Guaifenesin + Terbutaline,89.53,ALKEM PHARMA ALPHA MAX
RONFLOX 200MG TAB 10'S,Ofloxacin,38.34,ALKEM PHARMA ALPHA MAX
RONFLOX 400MG TAB 10'S,Ofloxacin,77.81,ALKEM PHARMA ALPHA MAX
RONFLOX OZ TAB 10'S,Ofloxacin + Ornidazole,99.38,ALKEM PHARMA ALPHA MAX
RONFLOX SYP 60ML.,Ofloxacin,35.63,ALKEM PHARMA ALPHA MAX
TOTALDERM CREAM 10GM.,Clobetasol + Gentamicin + Miconazole,49.69,ALKEM PHARMA ALPHA MAX
ZITHIUM 250MG TAB 6'S,Azithromycin,66.62,ALKEM PHARMA ALPHA MAX
ZITHIUM 500MG TAB 3'S,Azithromycin,125.87,ALKEM PHARMA ALPHA MAX
ZITHIUM ORAL SYP 15ML.,Azithromycin,47.30,ALKEM PHARMA ALPHA MAX
ZITHIUM DS ORAL SYP 15ML.,Azithromycin,54.61,ALKEM PHARMA ALPHA MAX
SUMO COLD PCF DROP 10ML.,Paracetamol + Phenylephrine + Chlorpheniramine,75.47,ALKEM PHARMA ALPHA MAX
SUMO COLD PCF SYP 60ML.,Paracetamol + Phenylephrine + Chlorpheniramine,62.81,ALKEM PHARMA ALPHA MAX
FENCETA NOVO 325MG TAB 10'S,Paracetamol,28.59,ALKEM PHARMA ALPHA MAX
RONFLOX OZ SYP 30ML.,Ofloxacin + Ornidazole,47.34,ALKEM PHARMA ALPHA MAX
SWICH XP 125MG.VAIL,Ceftriaxone + Sulbactam,45.89,ALKEM PHARMA ALPHA MAX
RONFLOX FORTE SYP 30ML.,Ofloxacin,39.38,ALKEM PHARMA ALPHA MAX
FENCETA PLUS SYP 60ML.,Paracetamol + Phenylephrine + Chlorpheniramine,44.50,ALKEM PHARMA ALPHA MAX
V & M FORTE 15'S,Multivitamins + Multiminerals,161.05,ALKEM PHARMA ALPHA MAX
CLAVPOD 50 DRY SYP 30ML.,Cefpodoxime + Clavulanic Acid,99.84,ALKEM PHARMA ALPHA MAX
ZITHIUM O TAB 5'S,Azithromycin,172.97,ALKEM PHARMA ALPHA MAX
SWICH O TAB 10'S,Cefixime + Ofloxacin,240.00,ALKEM PHARMA ALPHA MAX
SUMO SPRAY 50GMS,Diclofenac + Methyl Salicylate + Menthol + Linseed Oil,128.91,ALKEM PHARMA ALPHA MAX
FENCETA SP TAB 15S,Aceclofenac + Paracetamol + Serratiopeptidase,78.28,ALKEM PHARMA ALPHA MAX
TAXIM AZ 200MG TAB 10'S,Cefixime + Azithromycin,283.59,ALKEM PHARMA ALPHA MAX
SWICH CV 325 TAB 10'S,Cefixime + Clavulanic Acid,381.56,ALKEM PHARMA ALPHA MAX
SWICH CV 50MG SRY SYP30ML,Cefixime + Clavulanic Acid,99.84,ALKEM PHARMA ALPHA MAX
SWICH CV 100MG SYP 30ML.,Cefixime + Clavulanic Acid,138.75,ALKEM PHARMA ALPHA MAX
ZITHIUM O BD TAB 10'S,Azithromycin,177.66,ALKEM PHARMA ALPHA MAX
ZITHIUM O SYP 30ML.,Azithromycin,68.44,ALKEM PHARMA ALPHA MAX
TOTALDERM PLUS CREAM 15GM,Clobetasol + Gentamicin + Miconazole,45.94,ALKEM PHARMA ALPHA MAX
EFIMOX ER 5TABS,Cefixime,82.97,ALKEM PHARMA ALPHA MAX
INDIKOF LS SYRUP 60ML.,Levosalbutamol + Ambroxol + Guaifenesin,79.69,ALKEM PHARMA ALPHA MAX
CETIRIZ SYRUP 60ML.,Cetirizine,42.21,ALKEM PHARMA ALPHA MAX
INDIKOF-LS SYRUP 100ML,Levosalbutamol + Ambroxol + Guaifenesin,72.19,ALKEM PHARMA ALPHA MAX
ZITHIUM XL100 SUSP.30ML,Azithromycin,71.25,ALKEM PHARMA ALPHA MAX
ALKEL SYRUP 100ML,Potassium Citrate + Magnesium Citrate,62.34,ALKEM PHARMA ALPHA MAX
FENCETA-MR4 TAB 10S,Aceclofenac + Paracetamol + Chlorzoxazone,170.63,ALKEM PHARMA ALPHA MAX
FENCETA-SPAS TAB 10S,Mefenamic Acid + Dicyclomine,92.81,ALKEM PHARMA ALPHA MAX
L-CETIRIZ SYRUP 30ML,Levocetirizine,28.13,ALKEM PHARMA ALPHA MAX
L-CETIRIZ TAB 10S,Levocetirizine,36.56,ALKEM PHARMA ALPHA MAX
ALKEL SYRUP 200ML,Potassium Citrate + Magnesium Citrate,95.63,ALKEM PHARMA ALPHA MAX
V&M NU SYRUP 100ML,Multivitamins + Multiminerals,102.30,ALKEM PHARMA ALPHA MAX
FENCETA PLUS TAB 10S,Paracetamol + Phenylephrine + Chlorpheniramine,25.50,ALKEM PHARMA ALPHA MAX
SWICH SR 200MG TAB 5'S,Cefixime,112.50,ALKEM PHARMA ALPHA MAX
SWICH SR 400MG TAB 5'S,Cefixime,195.94,ALKEM PHARMA ALPHA MAX
ZITHIUM-O SUSPENSION 60ML,Azithromycin,112.50,ALKEM PHARMA ALPHA MAX
TAMANDRO 0.4MG TAB 10'S,Tamsulosin,112.50,ANDROMEDA PHARMACEUTICALS P. L
TAMANDRO D TAB 10S,Telmisartan + Hydrochlorothiazide,187.50,ANDROMEDA PHARMACEUTICALS P. L
CARDIOTEL-LN-40 TAB 10,Telmisartan + Cilnidipine,117.18,ANDROMEDA PHARMACEUTICALS P. L
ORGACIUM NF TAB 15'S,Calcium + Vitamin D3 + Minerals,361.34,ANDROMEDA PHARMACEUTICALS P. L
HANDTOUCH SANITIZER  100ML,Ethyl Alcohol,46.88,ANDROMEDA PHARMACEUTICALS P. L
NEUROMEDA-P TAB 10'S,Pregabalin + Methylcobalamin,168.75,ANDROMEDA PHARMACEUTICALS P. L
VICTOBET-AM 5MG TAB 10'S,Amlodipine + Metoprolol,130.31,ANDROMEDA PHARMACEUTICALS P. L
JUPIFLY EZ 10 MG TAB 10'S,Empagliflozin + Linagliptin,205.78,ANDROMEDA PHARMACEUTICALS P. L
CARDIOTEL LNB 25MG TAB 10'S,Telmisartan + Nebivolol,125.63,ANDROMEDA PHARMACEUTICALS P. L
CARDIOTEL LNB 50MG TAB 10'S,Telmisartan + Nebivolol,163.13,ANDROMEDA PHARMACEUTICALS P. L
ORGACIUM-D3 60K TAB 4'S,"Cholecalciferol (Vitamin D3) 60,000 IU",95.63,ANDROMEDA PHARMACEUTICALS P. L
PROMEDA-LS CAP 1*10'S,Rabeprazole + Levosulpiride,215.15,ANDROMEDA PHARMACEUTICALS P. L
JUSTETO-P TAB 1*10'S,Etoricoxib + Paracetamol,136.88,ANDROMEDA PHARMACEUTICALS P. L
DOXYDEF-LB CAP 10'S,Doxycycline + Lactic Acid Bacillus,103.12,ANDROMEDA PHARMACEUTICALS P. L
CARDIOTEL 20MG TAB 10'S,Telmisartan,40.73,ANDROMEDA PHARMACEUTICALS P. L
CARDIOTEL-AM TAB 10'S,Telmisartan + Amlodipine,140.63,ANDROMEDA PHARMACEUTICALS P. L
NEUROMEDA INJ. 1*2ML,Methylcobalamin,45.00,ANDROMEDA PHARMACEUTICALS P. L
FAROMIL TAB 10'S,Faropenem,199.00,ANDROMEDA PHARMACEUTICALS P. L
PROMEDA-20 10S,Rabeprazole,84.35,ANDROMEDA PHARMACEUTICALS P. L
PROMEDA-DSR 10S,Rabeprazole + Domperidone,121.85,ANDROMEDA PHARMACEUTICALS P. L
NEUROMEDA TAB 10S,Methylcobalamin + Alpha Lipoic Acid + Pyridoxine + Folic Acid,168.75,ANDROMEDA PHARMACEUTICALS P. L
LYCOMEDA TAB  10'S,Lycopene + Multivitamins + Multiminerals,240.00,ANDROMEDA PHARMACEUTICALS P. L
LYCOMEDA SYRUP 200ML.,Lycopene + Multivitamins + Multiminerals,168.75,ANDROMEDA PHARMACEUTICALS P. L
D-SURE SACHET  1GM,Cholecalciferol,30.00,ANDROMEDA PHARMACEUTICALS P. L
LEVEDA  500 TAB 10S,Levetiracetam,75.00,ANDROMEDA PHARMACEUTICALS P. L
CARDIOTEL BETA 25MG TAB 15'S,Telmisartan + Metoprolol,184.68,ANDROMEDA PHARMACEUTICALS P. L
CARDIOTEL BETA 50MG TAB 15'S,Telmisartan + Metoprolol,210.80,ANDROMEDA PHARMACEUTICALS P. L
CARDIOTEL-40  TAB 15S 15TAB,Telmisartan,108.30,ANDROMEDA PHARMACEUTICALS P. L
CARDIOTEL-CT 40MG TAB,Telmisartan + Chlorthalidone,103.13,ANDROMEDA PHARMACEUTICALS P. L
D-SURE TABS 2S,Cholecalciferol,46.88,ANDROMEDA PHARMACEUTICALS P. L
GCPRED 4MG TAB 10'S,Methylprednisolone,65.62,ANDROMEDA PHARMACEUTICALS P. L
GCPRED 8MG TAB 10'S 10,Methylprednisolone,71.25,ANDROMEDA PHARMACEUTICALS P. L
CARDIOTEL-TRIO 6.25 TAB 1*10TAB,Telmisartan + Amlodipine + Hydrochlorothiazide,120.93,ANDROMEDA PHARMACEUTICALS P. L
LEVEDA 120MG TAB 10'S,Fexofenadine,171.56,ANDROMEDA PHARMACEUTICALS P. L
LEVEDA 180MG TAB 10'S,Fexofenadine,186.56,ANDROMEDA PHARMACEUTICALS P. L
LEVEDA M TAB 10'S,Montelukast + Fexofenadine,186.56,ANDROMEDA PHARMACEUTICALS P. L
LACTURYTE SYRUP 200ML,Lactulose,262.50,ANDROMEDA PHARMACEUTICALS P. L
NEUROMEDA FORTE SR TAB 10'S,Methylcobalamin + Pregabalin,214.50,ANDROMEDA PHARMACEUTICALS P. L
VICTOBET-LN 25/10 1*15TAB,Metoprolol + Cilnidipine,171.56,ANDROMEDA PHARMACEUTICALS P. L
VICTOBET-LN 50/10 1*15TAB,Metoprolol + Cilnidipine,186.56,ANDROMEDA PHARMACEUTICALS P. L
RAFTKOOL SUSPENSION 150ML,Sodium Alginate + Sodium Bicarbonate + Calcium Carbonate,173.44,ANDROMEDA PHARMACEUTICALS P. L
REMOULD CAP 1*30,Protein Hydrolysate + Vitamins + Minerals,444.00,APPENA LIFE PVT.LTD
FLEXKNEE CAP 14'S,Glucosamine + Chondroitin + Collagen Peptide + Vitamins & Minerals,644.00,APPENA LIFE PVT.LTD
APPCOXIB-90MG TAB 10'S,Etoricoxib,100.00,APPENA LIFE PVT.LTD
APPCOXIB-MR TAB 10'S,Etoricoxib + Thiocolchicoside,220.00,APPENA LIFE PVT.LTD
APPDAF-6MG TAB 10'S,Deflazacort,122.81,APPENA LIFE PVT.LTD
APPDAF-12MG TAB 10'S,Deflazacort,225.00,APPENA LIFE PVT.LTD
RABENA-D CAP 10'S,Rabeprazole + Domperidone,131.00,APPENA LIFE PVT.LTD
APPFLAM TABS 10'S,Aceclofenac + Paracetamol,130.00,APPENA LIFE PVT.LTD
MIXX CAP 10'S,Probiotic Blend,133.00,APPENA LIFE PVT.LTD
BONEAPP TABS 10'S,Calcium Citrate + Vitamin D3,220.00,APPENA LIFE PVT.LTD
BONEAPP PLUS TAB 10'S,Calcium Citrate + Vitamin D3 + Zinc + Magnesium,300.00,APPENA LIFE PVT.LTD
REMOULD SYRUP 300ML,Cyproheptadine + Lysine + Multivitamins,350.00,APPENA LIFE PVT.LTD
APPIGAB-NT TAB 10'S,Pregabalin + Nortriptyline,206.00,APPENA LIFE PVT.LTD
RUTOSURE TAB 10'S,Trypsin + Bromelain + Rutoside,182.00,APPENA LIFE PVT.LTD
UPGRADE-D NANO 5ML,Cholecalciferol,280.00,APPENA LIFE PVT.LTD
FUROXAPP-CV TAB 10'S,Cefuroxime + Clavulanic Acid,690.00,APPENA LIFE PVT.LTD
NAGLUT-TRIO FORTE TAB 10'S,Teneligliptin + Metformin + Dapagliflozin,224.06,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
NAGLUT-S TAB 10'S,Teneligliptin + Dapagliflozin,205.31,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
BEXOTAT-40MG TAB 10'S,Febuxostat,111.56,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
NAGLUT-TRIO TAB 1*10'S,Teneligliptin + Metformin + Dapagliflozin,216.56,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
TAZPURE-AM TAB 1*10TAB,Telmisartan + Amlodipine,149.50,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
SAFRENO TAB 1*10'S,Safinamide,163.00,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
SOBIARA TAB 10'S,Orlistat,54.00,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
APIPURE MAX TAB 10'S,Apixaban,399.00,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
GLIMPURE M1 TAB 1*15,Glimepiride + Metformin,136.88,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
GLIMPURE M2 TAB 1*15,Glimepiride + Metformin,225.70,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
ARIVOG-M 0.2 TAB 1*15,Voglibose + Metformin,135.94,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
ARIVOG-M 0.3 TAB 1*15,Voglibose + Metformin,118.59,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
GLIMPURE MV 2.3 TAB 1*15,Glimepiride + Voglibose,239.06,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
GLIMPURE MV 1 TAB 1*15,Glimepiride + Metformin + Voglibose,198.00,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
GLIMPURE MV 2 TAB 1*15,Glimepiride + Voglibose,324.80,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
GLIMPURE MV 1.3 TAB 1*15,Glimepiride + Metformin + Voglibose,235.31,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
GLIMPURE MV 3.3 TAB 1*15,Glimepiride + Metformin + Voglibose,278.00,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
NAGLUT 10 TAB 1*14,Teneligliptin,224.06,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
NAGLUT 5 TAB 1*14,Teneligliptin,117.18,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
NAGLUT M TAB 1*15,Teneligliptin + Metformin,257.81,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
OBIARA-120 TAB 1*10,Orlistat,505.31,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
OBIARA-60 TAB 1*10,Orlistat,290.62,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
SITAMAY TAB 1*7,Sitagliptin,172.50,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
SITAMAY M TAB 1*15'S,Sitagliptin + Metformin,193.12,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
TAZPURE 40MG TAB 1*15,Telmisartan,105.94,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
TAZPURE 80MG TAB 1*15,Telmisartan,165.96,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
TAZPURE BETA 25 TAB 1*15,Telmisartan + Metoprolol,226.87,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
TAZPURE BETA 50 TAB 1*15,Telmisartan + Metoprolol,276.56,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
TAZPURE CH 80MG TAB 1*10,Telmisartan + Chlorthalidone,165.00,ARRIENT HEALTHCARE (ARRIENT)PRIVATE  LIM
